Node_Index_0based,Node_Index_1based,Parcel_Label,Structure_Type,Hemisphere,Anatomical_Region,Yeo_Network,FSL_Label,In_Posterior_Hot_Zone,In_Global_Neuronal_Workspace
264,265,7Networks_LH_SalVentAttn_FrOperIns_21,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
265,266,7Networks_LH_SalVentAttn_FrOperIns_22,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
266,267,7Networks_LH_SalVentAttn_FrOperIns_23,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
267,268,7Networks_LH_SalVentAttn_PFCl_1,Cortex,Left,PFCl,Salience_Ventral_Attention,-1,0,1
268,269,7Networks_LH_SalVentAttn_PFCl_2,Cortex,Left,PFCl,Salience_Ventral_Attention,-1,0,1
269,270,7Networks_LH_SalVentAttn_Med_1,Cortex,Left,Med,Salience_Ventral_Attention,-1,0,1
270,271,7Networks_LH_SalVentAttn_Med_2,Cortex,Left,Med,Salience_Ventral_Attention,-1,0,1
271,272,7Networks_LH_SalVentAttn_Med_3,Cortex,Left,Med,Salience_Ventral_Attention,-1,0,1
272,273,7Networks_LH_SalVentAttn_Med_4,Cortex,Left,Med,Salience_Ventral_Attention,-1,0,1
273,274,7Networks_LH_SalVentAttn_Med_5,Cortex,Left,Med,Salience_Ventral_Attention,-1,0,1
274,275,7Networks_LH_SalVentAttn_Med_6,Cortex,Left,Med,Salience_Ventral_Attention,-1,0,1
275,276,7Networks_LH_SalVentAttn_Med_7,Cortex,Left,Med,Salience_Ventral_Attention,-1,0,1
276,277,7Networks_LH_SalVentAttn_Med_8,Cortex,Left,Med,Salience_Ventral_Attention,-1,0,1
